id,product_number,quantity,price,discount,featured,name,description,images,variants,category_link,category,product_colors,brand_link,brand_name,Order Items
159,8375,48,₦32000,0%,false, 2000 Litres Heart Tank,"The 2000 Litres Heart Tank is a uniquely designed water storage solution that combines aesthetic appeal with practical functionality. Crafted from high-grade, food-safe plastic, it ensures the stored water remains clean and free from contaminants. Its distinctive heart shape is not merely for decoration; it provides structural stability and reduces the tank's footprint, making it ideal for spaces where a traditional cylindrical tank might not fit. The tank's opaque walls prevent algae growth by blocking sunlight, thus maintaining water quality over long periods. Equipped with a secure, lockable lid and multiple outlet points, it offers ease of use and versatility for various plumbing configurations. Its robust construction is UV-stabilized, resisting degradation from prolonged sun exposure and ensuring a long service life. This tank is a perfect blend of durability, hygiene, and innovative design, making it a reliable and attractive option for residential or commercial water storage. ",111064557_NjIwLTgyNy1mNGM0ZDdmNTA3-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/RWLLjwOj17iqtdWK9HDFfQ/h-pG79hk_kG9vvZfUUcEKt4yoOiB8H5P2_CYxbceM3FW1Qk9WOhYPf188x1F2uXy88Qgd7aK9wRWZAH_PRoi08Pr1pbE9pjMzhhNOXbxqFkjqID9jfUhHhOIgbreJM_3XSvt2_VlIdmDqEbE23QTRA/mMZiN7xFYPXB0BxIXEYswrR3g5qJzNoQiUU0Pdj1MI0),,Water Tanks,Water Tanks,,32,Ford,
160,2579,38,₦302900,,false,2500 Litres Heart Tank,"The 2500 Litres Heart Tank is a robust and stylish water storage solution designed for both domestic and commercial use. Constructed from high-quality, food-grade polyethylene, this tank ensures the water remains clean and free from contaminants. Its unique heart shape not only adds a touch of elegance but also provides enhanced structural integrity and stability. The tank's durable, UV-stabilized material resists harsh weather conditions and algae growth, guaranteeing a long lifespan with minimal maintenance. Featuring a secure, airtight lid and multiple outlets, it's easy to fill and connect to existing plumbing systems. Ideal for rainwater harvesting, agricultural applications, or as a backup water supply, this tank blends functionality with an aesthetic appeal. The 2500 Litres Heart Tank is a reliable and eye-catching choice for anyone seeking a durable water storage solution.",111064557_NjIwLTgyNy1mNGM0ZDdmNTA3-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/PURQXTXKLMbBSr1k-5-LQQ/eNcTHs7TStc33qifTIFKp6rwWJaIyJHp9LHl8ZJ63DCB9h2J_Igm9b4lcD9CDbVcEAXk0kUdMci5vCJl2EXvGhxuvXScuQsm7qlZPPl8Wh20uon3mQML8eAC7IsFXtaP-132A9ks1kLWkQZV0gDWzmnOBjz0mehzsfr-g8t76WyJsw-jZDgLsyo_V-tpiG5s2JfdeRIRVDeQw7nc_7xP9Q/Drdw5l7qMQItLEZ85PorvlZNdQwrBTaXRwI7Wx78lrk),,Water Tanks,Water Tanks,,,,
161,5629,37,₦910900,25%,false,3000 Litres Heart Tank,"The 3000 Litres Heart Tank is a roto-molded water storage solution, thoughtfully designed for durability and efficiency. Its unique heart shape is more than just an aesthetic feature; it enhances structural stability, ensuring the tank maintains its integrity under pressure. Constructed from high-quality, food-grade virgin plastic, it guarantees the stored water remains clean and safe for consumption. This tank is UV stabilized, preventing degradation from sun exposure and extending its lifespan significantly. The seamless, one-piece construction eliminates the risk of leaks and makes it highly resistant to cracks. Ideal for residential, commercial, or agricultural use, this tank provides a reliable and long-lasting supply of water. The compact design allows for easy installation in various spaces, offering a versatile solution to your water storage needs.",111064557_NjIwLTgyNy1mNGM0ZDdmNTA3-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/PURQXTXKLMbBSr1k-5-LQQ/eNcTHs7TStc33qifTIFKp6rwWJaIyJHp9LHl8ZJ63DCB9h2J_Igm9b4lcD9CDbVcEAXk0kUdMci5vCJl2EXvGhxuvXScuQsm7qlZPPl8Wh20uon3mQML8eAC7IsFXtaP-132A9ks1kLWkQZV0gDWzmnOBjz0mehzsfr-g8t76WyJsw-jZDgLsyo_V-tpiG5s2JfdeRIRVDeQw7nc_7xP9Q/Drdw5l7qMQItLEZ85PorvlZNdQwrBTaXRwI7Wx78lrk),,Water Tanks,Water Tanks,,,,
162,7046,38,₦720000,15%,false,3500 Litres Heart Tank,"The 3500 Litres Heart Tank is a robust, UV-stabilized water storage solution designed for durability and longevity. Constructed from high-quality, food-grade polyethylene, this tank ensures the water remains clean and safe for consumption, making it ideal for both residential and commercial applications. Its distinctive heart-shaped design is not just for aesthetics; it provides enhanced structural integrity, allowing the tank to withstand pressure and external forces more effectively than traditional cylindrical tanks. The unique shape also optimizes space, fitting snugly into corners and tight spaces to maximize utility. Equipped with multiple threaded outlets, the tank allows for easy and versatile plumbing connections. Its seamless, one-piece construction prevents leaks and cracks, ensuring a maintenance-free experience for years. The 3500 Litres Heart Tank is the perfect blend of innovative design and practical functionality, offering a reliable solution for your water storage needs.",111064557_NjIwLTgyNy1mNGM0ZDdmNTA3-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/PURQXTXKLMbBSr1k-5-LQQ/eNcTHs7TStc33qifTIFKp6rwWJaIyJHp9LHl8ZJ63DCB9h2J_Igm9b4lcD9CDbVcEAXk0kUdMci5vCJl2EXvGhxuvXScuQsm7qlZPPl8Wh20uon3mQML8eAC7IsFXtaP-132A9ks1kLWkQZV0gDWzmnOBjz0mehzsfr-g8t76WyJsw-jZDgLsyo_V-tpiG5s2JfdeRIRVDeQw7nc_7xP9Q/Drdw5l7qMQItLEZ85PorvlZNdQwrBTaXRwI7Wx78lrk),,Water Tanks,Water Tanks,,,,
163,4203,37,₦432000,,false,4000 Litres Heart Tank ,"The 4000 Litre Heart Tank is an innovative and aesthetically pleasing water storage solution that combines practicality with a unique design. Shaped like a heart, this tank is a departure from traditional, utilitarian water tanks, adding a touch of charm and elegance to any setting. Its large capacity of 4000 litres makes it suitable for residential, commercial, and agricultural applications, providing an ample supply of water for various needs. The tank is constructed from durable, food-grade plastic, ensuring the stored water remains clean and safe for consumption or other uses. Furthermore, its UV-stabilized material prevents degradation from sunlight, guaranteeing a long service life even when exposed to harsh outdoor conditions. The tank is equipped with standard fittings for easy installation and connection to plumbing systems, making it a convenient choice for new and existing setups. This unique heart-shaped design not only serves a functional purpose but also acts as a conversation starter, making water storage a beautiful and integrated part of a landscape.",111064557_NjIwLTgyNy1mNGM0ZDdmNTA3-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/PURQXTXKLMbBSr1k-5-LQQ/eNcTHs7TStc33qifTIFKp6rwWJaIyJHp9LHl8ZJ63DCB9h2J_Igm9b4lcD9CDbVcEAXk0kUdMci5vCJl2EXvGhxuvXScuQsm7qlZPPl8Wh20uon3mQML8eAC7IsFXtaP-132A9ks1kLWkQZV0gDWzmnOBjz0mehzsfr-g8t76WyJsw-jZDgLsyo_V-tpiG5s2JfdeRIRVDeQw7nc_7xP9Q/Drdw5l7qMQItLEZ85PorvlZNdQwrBTaXRwI7Wx78lrk),,Water Tanks,Water Tanks,,,,
164,4938,372,₦300000,,false,4500 Litres Heart Tank,"The 4500 Litres Heart Tank is an innovative and aesthetically pleasing water storage solution that combines high-capacity functionality with a unique, compassionate design. Crafted from durable, food-grade polyethylene, this tank ensures the safe and clean storage of large volumes of water for both domestic and commercial use. Its distinctive heart shape not only stands out but also symbolizes a commitment to sustainability and caring for one's community through responsible water management. The robust construction is UV-stabilized, preventing material degradation from prolonged sun exposure, while its seamless, one-piece molding guarantees leak-proof performance. This tank is equipped with multiple inlet and outlet points, allowing for versatile installation and easy integration into existing plumbing systems. Ideal for rainwater harvesting or as a primary water source, the 4500 Litres Heart Tank is a perfect blend of form and function. Its generous capacity makes it suitable for serving large households, small businesses, or agricultural applications, all while adding a touch of unique charm to any landscape.",111064557_NjIwLTgyNy1mNGM0ZDdmNTA3-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/PURQXTXKLMbBSr1k-5-LQQ/eNcTHs7TStc33qifTIFKp6rwWJaIyJHp9LHl8ZJ63DCB9h2J_Igm9b4lcD9CDbVcEAXk0kUdMci5vCJl2EXvGhxuvXScuQsm7qlZPPl8Wh20uon3mQML8eAC7IsFXtaP-132A9ks1kLWkQZV0gDWzmnOBjz0mehzsfr-g8t76WyJsw-jZDgLsyo_V-tpiG5s2JfdeRIRVDeQw7nc_7xP9Q/Drdw5l7qMQItLEZ85PorvlZNdQwrBTaXRwI7Wx78lrk),,Water Tanks,Water Tanks,,,,
165,9384,72,₦230000,,false,5000 Litres Heart Tank,"The 5000 Litre Heart Tank is an innovative and aesthetically pleasing water storage solution designed to provide a secure and substantial supply for residential or commercial use. Its unique heart shape distinguishes it from conventional tanks, adding a touch of elegance to any property while also serving a practical purpose. Constructed from high-quality, food-grade polyethylene, this tank ensures the stored water remains clean and safe for consumption. The material is also UV-stabilized, preventing degradation from sunlight and ensuring long-term durability in various weather conditions. Its large capacity makes it ideal for managing water supply during shortages or for use in agricultural settings. The tank's design includes features that facilitate easy installation and maintenance, with a secure lid to prevent contamination. This blend of style, durability, and functionality makes the 5000 Litre Heart Tank a superior choice for reliable water storage.",111064557_NjIwLTgyNy1mNGM0ZDdmNTA3-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/PURQXTXKLMbBSr1k-5-LQQ/eNcTHs7TStc33qifTIFKp6rwWJaIyJHp9LHl8ZJ63DCB9h2J_Igm9b4lcD9CDbVcEAXk0kUdMci5vCJl2EXvGhxuvXScuQsm7qlZPPl8Wh20uon3mQML8eAC7IsFXtaP-132A9ks1kLWkQZV0gDWzmnOBjz0mehzsfr-g8t76WyJsw-jZDgLsyo_V-tpiG5s2JfdeRIRVDeQw7nc_7xP9Q/Drdw5l7qMQItLEZ85PorvlZNdQwrBTaXRwI7Wx78lrk),,Water Tanks,Water Tanks,,,,
185,4538,70,₦4000,,false,"1/2"" Tonobo Stainless Tap","The 1/2"" Tonobo Stainless Tap is a premium-quality faucet designed to deliver durability, style, and reliable water control. Constructed from high-grade stainless steel, it is resistant to rust, corrosion, and wear, making it ideal for both indoor and outdoor use. The 1/2"" size ensures compatibility with standard plumbing systems, allowing for smooth installation and versatile application.","tonobo stainless tap 1.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/EDyjA3i_XC8_aWfN97TLyQ/voflEOXqwJWppfZ7ZlwbvVwkxfGHINisnrtS993TNNVMttDF2-c9qu1aH0N-CC7s8Fm5dBgdUTN6jcaOYl3RVcGqwYUSt4dMrZFsDj97AQDvI7Z06zDUZTgvuJtZdJz2qBQ_ISIcdqrrVMJGJiiHKVNpFS_ZxtONTOrIDcXY2sU/FjiR1ow9Nwwm8e970TjUmT5EyDBJm8UrfWROyc9lcCE),tonobo stainless tap 2.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/HSbznImgqlKmsIClb4ER-A/4XJzQ9oIfpite_qLMcCPH8kaL1yHwI5iccmruAtzpmZS-L_zJZhvXsiup6Cv0rZf_84M0nLtznV5ZologcDXk_9ynzi61lhUcioRI2ytii-ySMcXwwGEg00T2uqQro1izPe_vyAtjXUEdOB_qUErO-LLcYa4AsEPElcWUlwWpx0/97308PzmFODkKHi41rGeBikXbfXp57ZQefXsdAmaf7s),tonobo stainless tap 3.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/hD1NLMCJ8MyJJXlzU_Ihbw/7jGyBYzbsadIHO4MduQG7khKTbZtdXrCq782vmra_91WxWDiHyGKo7GneN5MYPly4C-ARHUZwdMaNfRw4x5_-JnE63bYLXwej08HRCm7CYRc1RFaSwDcwmGmDjeuDTBf954pOKE51KWnUwXZt0g5ahAArSEYJcBic875056Evm0/dcpQYSzvkg0bvf521qKY5YlEz_tYOKSzILRX-jLlNY0)",,faucets,faucets,,,,
186,3472,50,₦10000,,false,"1/2"" Tonobo Shower-Tap Heavy Guage","The 1/2"" Tonobo Shower-Tap Heavy Gauge is a robust and reliable plumbing fixture designed for long-lasting performance. Made from heavy-duty stainless steel, it offers superior resistance to rust, corrosion, and high water pressure. The 1/2"" size makes it universally compatible with standard shower fittings, ensuring easy installation and a secure connection. Its heavy gauge construction enhances durability, allowing it to withstand frequent use without compromising efficiency.","tonobo heavy guage shower tap 2.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/M3A7EqyZickTbWKvmnE7Yw/nqLx6rIQw-kgUgV4aQSA8qtUZg7T_l9hRSmMTuyA0N1nRZBve_ogMinJYcOt6BTF6Cz1vmMGm7ZJS155X6wFTVSQAx8CwPXf1Yz___TSDkUP787UT3qZAwJEHT-bBLRZ0tLjaHVqXLI4l9VbThWnsa_N2O37rOoH2l7r9zMD-Lk3PaoK-lPn5VYkIvLXSa_0/mz4y26JYg4RS5L8NqkMxLPF5oPC4_OlOYk5ShcIVDgM),tonobo heavy guage shower tap 3.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/ilq3Batv3uTxXOKZNhFHDQ/stnfKiOpltB_Et4MRnU_LF_8Z6x9q2EoTW5KSnoOaMpxptkqgs5jcWOwV2yYTX1s2HkdM4o2AZQGjPTYpSJIasf7377_RfVID5YESbxgaWG6bKKMG47uOdD6jZ7vODoYeCq4uudw-BxQe6nVFBiPBG55YqHXcDCAeZb9cGT2UAVIOZmay_Yb1-hTvs9W3L1I/2WH2WA8S5dX9db2C571XHxzw-UG-7H8jLk5sG0PGQLQ),tonobo heavy guage shower tap 4.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/rLQQ0Lm_0p0btTuewbMaTQ/ET9p9jV-ibmEcRcpMRoYkKuEiQTP92ddwZKH-ciUwWQYH0e3VghWNbrvtVMrvb4VO_V3FayBJk89hG1N_BR5_dz5fr7BymKZiiqHn89g4Nm2dP1w-0Fe-Yr6dNmjkMhopIseEUoDqwgSYhj9YxYq1Zco3IL3Hu1lL2slGm1MrHffsWlDqMtCgjbrLJhq6SyF/bZNWPdgbQwltnQSrjHIVhQXPuhD4__zXv0Yygce8dP4)",,faucets,faucets,,,,
202,4629,50,₦15000,,false,3/4'' Condict Sweethome Stop-Cork,"The 3/4'' Condict Sweethome Stop-Cork is a durable plumbing accessory designed for effective water flow control in household and commercial piping systems. Crafted from high-quality materials, it ensures long-lasting resistance against rust, corrosion, and everyday wear. Its 3/4'' size provides reliable compatibility with standard pipe fittings, making installation simple and secure. The stop-cork design allows for quick shut-off and regulation of water, helping to prevent leaks and improve overall system efficiency.","Half sweethome condict stop-cork 1.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/KmyuliIsPLcchOYUieQoug/FPGGAc1BHi28rfhqPjYz0UUcCAZQ9xNcUp50JjQgSIu8MhHvFx2_3H1hUfpmIjY2emPxJF7nb_DSkcvz8O2BQ-EsIjEFh-yYjgDCvPJVFwmz3tC_bAksT7LDYoOwPCUraRujl9FFP3Lek0H5ILfSGYetQCef0BUK4CQ8ePs__lE3DLlMkQ8dFWD-n-60Xo64/LkN_jQSBo9kyvMVt-2Qtr84lWK2xj0yFbJ-v_AD5B4Q),Half sweethome condict stop-cork 2.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/vds6bdYukQQTVyNEqmRhQA/vmPZf39uc1H8O2cO9bLHa4by74TZkOQ5Yv9f6eiOJDaJpR1898qzTl633zc5BN5Jf5e6o-t7mu6YYJwMTdwjS1_wPIsXqdpCNGboXP3i9bIiB-VJyhiu6yvyq_lTb-d9PaKpDqEEFvBFapb6erSFPjQdzY1oIClnPzLweYJSGhbrECswIcgFguu25Hecb5cW/KkOsh5298b6W6V96BTUC24F7rQd1S4uIPtwjOTeQz5s),Half sweethome condict stop-cork 3 - Copy.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/S0HBTgwE-9ni6ffD2r7Mdg/DxvgMPIcxs0iDOC_jySbDI06WA91o3veYpB78iVGpo1EAk3oq1iQK6IQ8XLPjcEDU_6WUto-aXfpsaNrAoc48mR-3-5CKuiksMxSNMnLuBIPNqZ-YT65P2YkCo3QvyLpOgZWgCB3vK3PcCBuuDA-vHQKPurOQxo8bU5u1ro35IW-bZog0jAMgPvKP1ZDtsGd/e45_r-0AUfM9j_t_FvEE1YD0Kosz_e9m5YpVGzuIijI)",,faucets,faucets,,,,
203,2743,50,₦12000,,false,1/2'' Condict Sweethome Stop-Cork,"The 1/2'' Condict Sweethome Stop-Cork is a reliable plumbing fitting designed to provide efficient water flow control in residential and commercial systems. Built from high-quality, durable materials, it offers excellent resistance to rust, corrosion, and long-term wear. Its 1/2'' size ensures perfect compatibility with standard pipe connections, making installation quick and secure. The stop-cork mechanism allows for smooth water regulation and complete shut-off when needed, preventing leaks and enhancing system efficiency.
","sweeethome condict stop-cork 2.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/MJxJCyq71PnGQqZ7E3-yTw/QcN9xouNncUsjeCeYbbiYtmFWCyyTHxITEpfR45dTafCblLGcJGZ7FofcdHeBJDW06nQjoAbAeAwBFBpydytx1z3nlaWR16X5eXdTkMuutLoVgyd71vIAvQRbZFX3XG8IWqYtsyFV1ykyhZ-Msw7ds78RKegaH7eknLJPIqPV1LAFoSgsqgGRu7-lEJIbUlk/p_l9Ia2mOXYVfovSzq_VeBwkQkisXuGP2pieWIMqDvg),sweethome condict 3.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/Y3Fr5L6JlzCtGUhuxpba4A/OvlfgJLVkomD3u9HZEczgl3jTyDHtq43xAVwpRt8PfxpKkIn253eoVWgibszCSbFp01niymVGjCGc9aMy46yhEVHApgoQ47l8WSH_M1bqe4MYjxLJsZ6CHwlBM1oZ1WBcNjH19oYDmsu6UQIJpMrC6ObXZCJK2ETdIxI8W2Pc0A/JAA-IyvrtGK39jgigb1N6tdIDtw8CzNHg46mq4OLjjw),sweethome condict stop-cork 1.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/-9qDYXpT1uovxnb9NLiNEA/Y0gqR9i_wx88Nzm8vgOxEas_sQvKv532uUAjDiIbB9lNESB_DPVFU3nbMxFkP8np_arPiNN7TNmEwVEFXRJd3rwMjbCO-lZqL6JWYTrQJGTaJ0GqimaQ6-EnrNy6994SNfHs0znC83SHqjQ-uEqugL2CFoQqfuP9_x5AaNgoGFyB1cEJv9XWrEq9QwGHb_Nd/8Pj-fKOaqX54XZoWx2ntPTsfgJYuC-rYwj_K1KEJTnA)",,faucets,faucets,,,,
206,7922,50,₦6000,,false,3/4'' Condict S.F Stop-Cork,"The 3/4'' Condict S.F Stop-Cork is a strong and dependable plumbing fitting designed to ensure effective control of water flow in various piping systems. Manufactured from durable, high-quality materials, it offers excellent resistance to corrosion, rust, and everyday wear. Its 3/4'' size makes it perfectly compatible with standard plumbing connections, allowing for easy installation and a secure fit. The stop-cork mechanism provides smooth operation, enabling reliable water regulation and complete shut-off when required. Built with a sturdy structure, it performs well under high pressure and frequent use, guaranteeing long service life.","S.F condict stop-cork 1 - Copy - Copy - Copy.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/6_RcjLSHEQAe7SgSzZDdoA/K7EMkX-pLsznMxSDr8IiM07RP6FwqQF59Z_Wzkq4fyocxDesb4uL3e42-ixEtSns7OSXBwq8pIP90ZFqmU8NwQdtiCkSUwvbd2fcCIjV9BTl_4CFsT6fxv0sHFki9KMwOdqbaR4RZ3gD3yRM7BJkkgVkj4fQ9BGV0ibbkbCjtgEoSGkzBxrnYZkTMJz8byBb/javCHNa8QTP80aBFjFlXgRmc-clHddi_QlfRR7OM_ko),S.F condict stop-cork 1 - Copy (2).jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/ggVc84S73wJOJ9NDSDHrLg/qOsFliEep1Gby829KgpO4NHlgEQKR-Kcw_1eXiKzxvsrOpQNf_lDg6DS8NL-zIY4wKT02PHdHiysOBVdxYN0M6WUKUQSMdgcX_1sm1GK6LeR9HByyl-rgSeovbpRDxrNb2ChuKiiXjHx5YH9gNpxQ8NrMeQjgQ3_oiHSi30LD0ASfYeTLsdBLzWex9sUHREm/CkqQBgUPW4cwRNIVVq4CNXa_rPGZ4RqQWLFNtqTbfxM),S.F condict stop-cork 1 - Copy.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/aGqKU0bFRw8nsfajNmH--A/eTTS9hp4_6en_MpkVHhfH8AaVUcYHj5Uqs-pGaTVDHEnQAKfQaC9_2ZEInDQ95C7pypu0KPxid33gbddzb_CSzY4NAYgID1GHtZspjs-ue9H_0oIr6tIZKbpz4HqFzhIVimds1369pXBOvZQSJDINxqNSu4nHkhvugabDzF8jb5cf6TL_zGtl5t6B9tV_UiW/iI3XXkjTt91IHCwsagyxU3HleVzwMRvf_pP5TCseNCk)",,faucets,faucets,,,,
207,8557,50,₦5000,,false,1/2'' Condict S.F Stop-Cork,"The 1/2'' Condict S.F Stop-Cork is a high-quality plumbing fitting designed to provide efficient and reliable water control in everyday applications. Made from durable, corrosion-resistant materials, it ensures long-lasting performance even under constant use. Its 1/2'' size offers compatibility with standard plumbing systems, making installation quick, easy, and secure. The stop-cork mechanism allows for smooth regulation and complete shut-off of water flow, helping to prevent leaks and improve system efficiency. With its sturdy construction, it can withstand pressure variations without compromising functionality.","S.F condict stop-cork 1 - Copy - Copy - Copy.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/xJmYPRk56Nf_-y-rEP0CIA/Kf_032oOhd1d4LCJ4bAfiw6-dc7V6fcidichZvw1HrGxKO8i3Kjz8t-G2Wz014gDUVsnoJQmsNgkrlJshcFsmSLF_SBwINIbloPQiqdfC9grfGRMti3HKej7PYPu8-_hqgzsrAXNzu_uUKO1cZUmE7Lv8F3-F6HyaewvDB9I6pyhVX8hHOzHamIs4WTb2XMo/BGmPNheZRV5PYans2KiHvfXIB0EP_8lsfygA2bljZIs),S.F condict stop-cork 2 - Copy - Copy - Copy.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/onHoEF7-Fas71m3Njx-Buw/EwAomgcX4XZOcyifn3-MGpMYRVaCY6STlLHM11wmMQyO8Qsb-ydLAi9moDtmqK7Jqysxfl28yyExpJ6hjedbBpgG-cM0qTg0iaEHWGsTXZlL0P_hMQiXM4GpeYNdc_BrhDtbMLlllCvhc9q5a8w693r72zktOWkHtuddfIVnTIltSTuWUR950rAgJLdmjnyi/A_MGLFph5nIbWw80KD193nlFsy0uLKZ_rejCSIpMCGw),S.F condict stop-cork 3.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/C-oZzMEpLfjINfexsUWFqw/EB0I4ucgThNz3miknArDYTub4-8ifSDna2ITl344aKILsu-9EQuEpgqwss_0jqhMdtupxTA3NBUm8vhC2dOwNFzByN7yljiCX2T0x7iVasSzBAClRf2tl1ZTBMlLmYaIYu4WKF6Zr4ePgzleKZyc6ISCiip_XWi9LnfpC2Avc70/xXiAMpDkqmKYQeLDyu3ABLsCRlMjQVeNhdMrfT_BPYw)",,faucets,faucets,,,,
212,8484,60,₦5500,,false,3/4'' Golden Stop-Cork,"The 3/4'' Golden Stop-Cork is a durable and efficient plumbing fitting designed for precise water flow control in residential and commercial systems. Crafted from strong, high-quality materials, it provides excellent resistance against rust, corrosion, and daily wear. Its 3/4'' size ensures seamless compatibility with standard pipe fittings, making installation straightforward and secure. The stop-cork mechanism offers smooth operation for regulating or completely shutting off water flow, helping to prevent leaks and conserve water.","golden stop-cork 1.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/OblakHQ-WsUFhGlmrfxInw/A26Rnbts9-eTtTIKZR8R9CGu3sJEaITURFwAjsJltpU3FqtSfUchVMvEsfcqaPglHnBHcupfU2VP0IwZVX5qSe6Xp31og8gdOdAmYzATvW4iydalacXmfwznADhlEVfECs7MGOVGc3qiNrRARKPoDr4fGX5DPuKv4pJ79GxjB_0/yzTCRxyjvLDsAA7a45cnRlIjNIFX92cboIxTs3-V5z0),Golden stop-cork 2.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/hxYPhfie2AtQXvvlFBi0Vw/-pgNruhM7eglSbPIPkrpwNFZTAJCPD3iZvNMTY-zSKly0wUYgsWeFt7dZPk-hOw4IEtQRmH3Vr96C8LFj6Iav8Gy6CH21eT2aRThGFzHtiy6UcgPhrBwjuX1SGpYpwD_Fl855qoYILH-v8abNWn1uD5cq6ZNCzflFClB9RjBCJM/UDYuqD67dvYQtQ_8apjDXTWR_4gKCYxfEKTSXi5591Y),Golden stop-cork 3.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/5CcIpJuCnnvwre84nbrLLQ/3axozu0_aWt3vsiIRppeiwPI8ZcDSVvpjR0xr7HjfKVtxdGViP9JpGe_jS7SOFoxSNkpKrIfHu9rQaspX-gjB6Sqqr7uMsr8uuh9NwfWhQPw3qze7UEPQG5m5Vqo1R8HGfk_RIBahohAUuyC8aCIAeqnFmTFwpMgGqJHodfmZko/tEmF9i4tBSKGvcMuDgdKHqYeuZv-0dGp7_swHxPabMA),Golden stop-cork 4.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/zTVU2KA9hi1-wkcFc7pGEg/NwcFes50LbaZh4BeQ7Z506ULkNTy4_3X9IzSpecV5-w-axcEv_RH8u4OVEfsdubozB0JHR9s51ZcNqR3AX9onWJs7saIcVwwIhhj1wxbLU7eRmnPrNdMNJgGAnCVXaQyDzjlcLHxWqZLCAvHngdNXaWr2B0PKAw7MfL-2uJVBBQ/0UByKiPaSIxYtx3oVfINC1DuZLdx1-WhZSziruNNpg0)",,faucets,faucets,,,,
213,8149,60,₦5000,,false,1/2'' Golden Stop-Cork,"The 1/2'' Golden Stop-Cork is a dependable plumbing fitting designed to provide smooth and effective water control in household and commercial piping systems. Manufactured from strong, corrosion-resistant materials, it guarantees durability and long-lasting performance. Its 1/2'' size ensures perfect compatibility with standard plumbing connections, allowing for easy installation and a secure fit. The stop-cork mechanism enables reliable water regulation and complete shut-off, preventing leaks and enhancing system efficiency. With its sturdy build, it can handle frequent use and varying water pressures without compromising functionality.","golden stop-cork 1.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/DPidM_AFGEoqqnNBMssSDg/FJ72FO7mDA2o1DodFV_6KeLwzF49Wj_Z8-3J9Otx63JloJjz4RviavwcrWIfi-hDkgdbND3FcxUOOSlcLoxlK74H0k8JJQYHNRJFDiNUstMylDSKkuNPau_W-F4qn4DtiGvFU440wPOJWa4nfwSeO9G7JbHXdWplo9GuqfcQRLM/bzEmtea52jSMXMndzjwM-UCuN4aXvJQp2YcnJ21UCnA),Golden stop-cork 2 - Copy.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/oG_fI-3iqOziKvuK5WDFGA/sWIcdAUXuIiMue1wgTMe4ZlztH_kKmU-_9yU0pYRm4jby1juHezgcc_rimiqLXIvlFwGYzE7q1pTUavotja8MVJbXiki4DUs0q4GqfvLYiJX3P8k5vVGEoX34tyvrUXqWfs1w1CPi9mihRTwueMasWR-oSJz76d5JxmVksH-ZbE/ZeDAzIqcfHRD29xcc8wxJrwQwuRl-iWMeOHNoHFEIQ0),golden stop-cork 1 - Copy.jpg (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/w7NKUkubG2O5haCsVFmvdA/Eo4LGZjs38Ry4FvAiltqNnsmckcvFUxX5QaMCWol2_gn1Dg8M_QBuUus_AhRZOr03vAdpqpVGy3VYRNN03XrNI5o1J976B72-xYTVzeHS5tZGlbsfZsWY-TiKl4vflrYPG2BkVWo401p8K4b-KnUSFf_pmmTtIMo7WLLcFA2ot8/oKM6GVHWpgpkxHEbGkJx5d_rYTG7j8JZ35E0zRqWgW8)",,faucets,faucets,,,,
